網址,工作名稱,工作標籤,關鍵字,date
https://www.104.com.tw/job/8rs9v?jobsource=new_map&app_jobsource=m_time4jobs,高級軟體工程師,全端工程師,".NET Framework,.Net,ADO.NET,ASP,ASP.NET,Agile,Ajax,Android,Azure,Bootstrap,C#,CSS,DataBase,Framework,Git,HTML5,JQuery,JSON,Java,JavaScript,LINQ,MVC,NoSQL,RWD,SQL,SQL Server,SVN,Visual Studio,全端,前端,後端,模組,物件導向,資料庫,軟體",2025-09-09
https://www.104.com.tw/job/865t1?jobsource=new_map&app_jobsource=m_time4jobs,維運駐點工程師(台中-北屯),軟體工程師,,2025-09-09
https://www.104.com.tw/job/8ehv7?jobsource=new_map&app_jobsource=m_time4jobs,Android/iOS APP工程師(工作地點: 台中/台北),全端工程師,"API,Android,Java,Kotlin,Swift,iOS,介面,全端,前端",2025-09-09
https://www.104.com.tw/job/6boe6?jobsource=new_map&app_jobsource=m_time4jobs,Java程式設計講師-台中三民認證中心,Android 工程師,"Android,Java,Kotlin,MySQL,Python,Spring,認證,軟體",2025-09-09
https://www.104.com.tw/job/8owdy?jobsource=new_map&app_jobsource=m_time4jobs,美工行銷專員,AI 工程師,"AI,Excel,Illustrator,Photoshop,PowerPoint,Word",2025-09-09
https://www.104.com.tw/job/8pwvo?jobsource=new_map&app_jobsource=m_time4jobs,SEO工程師,全端工程師,"HTML,SEO,Tag,Wordpress,全端,品質,搜尋,演算法,策略,追蹤,部署,電商",2025-09-09
https://www.104.com.tw/job/8nnvb?jobsource=new_map&app_jobsource=m_time4jobs,IPAS 淨零碳規劃管理師(初級)講師-台中站前認證中心,AI 工程師,"AI,認證",2025-09-09
https://www.104.com.tw/job/71s0h?jobsource=new_map&app_jobsource=m_time4jobs,系統維運工程師,軟體工程師,"SQL,軟體",2025-09-09
https://www.104.com.tw/job/752v7?jobsource=new_map&app_jobsource=m_time4jobs,軟體工程師,UI 設計師,"Raspberry Pi,軟體",2025-09-09
https://www.104.com.tw/job/8pqd5?jobsource=new_map&app_jobsource=m_time4jobs,IPAS 資訊安全工程師(初級)講師-台中三民分校,AI 工程師,"AI,機器學習",2025-09-09
https://www.104.com.tw/job/7c0bx?jobsource=new_map&app_jobsource=m_time4jobs,遊戲開發工程師,AI 工程師,"3D,AI,C#,C++,JAVA,圖,軟體",2025-09-09
